
   ACTIONS      QUERY                                     SCORE START   END QSIZE IDENTITY  CHROM  STRAND  START       END   SPAN
---------------------------------------------------------------------------------------------------------------------------------
browser details 14.35761675-C-G_hg19_dbSnp153Common         101     1   101   101   100.0%  chr14  +    35761625  35761725    101
browser details 14.35761675-C-G_hg19_dbSnp153Common          93     1   101   101    96.1%  chrY   +    15398460  15398560    101
browser details 14.35761675-C-G_hg19_dbSnp153Common          51    39   101   101    90.5%  chrX   +    12843940  12844002     63
browser details 14.35761675-C-G_hg19_dbSnp153Common          20    24    43   101   100.0%  chr3   +   145689790 145689809     20
browser details JHU_13.20119335_chr13_hg19_dbSnp153Common   101     1   101   101   100.0%  chr13  +    20119286  20119386    101
browser details JHU_13.20119335_chr13_hg19_dbSnp153Common    93     1   101   101    94.0%  chrY   -    28612641  28612740    100
browser details JHU_13.20119335_chr13_hg19_dbSnp153Common    31     9    49   101    79.5%  chr1   -    64886198  64886233     36
browser details JHU_13.20119335_chr13_hg19_dbSnp153Common    29     7    38   101    96.9%  chr9   -    34388617  34388650     34
browser details JHU_13.20119335_chr13_hg19_dbSnp153Common    24     9    32   101   100.0%  chr12  -   124690411 124690434     24
browser details JHU_13.20119335_chr13_hg19_dbSnp153Common    24    68    92   101   100.0%  chr1   +   119328895 119328926     32
browser details JHU_13.20119335_chr13_hg19_dbSnp153Common    23     9    32   101   100.0%  chr18  -     2721211   2721237     27
browser details JHU_13.20119335_chr13_hg19_dbSnp153Common    23    78   101   101   100.0%  chr2   +   113003511 113003620    110
browser details JHU_13.20119335_chr13_hg19_dbSnp153Common    21    64    84   101   100.0%  chr4   +   112078692 112078712     21
browser details JHU_13.20119335_chr13_hg19_dbSnp153Common    20     9    28   101   100.0%  chr3   -    47328595  47328614     20
browser details JHU_13.20119335_chr13_hg19_dbSnp153Common    20    74    93   101   100.0%  chr2   -      482543    482562     20
browser details JHU_13.20119335_chr13_hg19_dbSnp153Common    20    30    49   101   100.0%  chr1   +   203670585 203670604     20
browser details JHU_3.16652239_hg19_dbSnp153Common          101     1   101   101   100.0%  chr3   +    16652190  16652290    101
browser details JHU_3.16652239_hg19_dbSnp153Common           83     1   101   101    91.1%  chrY   -    26975034  26975134    101
browser details JHU_3.16652239_hg19_dbSnp153Common           83     1   101   101    91.1%  chrY   -    25360648  25360748    101
browser details JHU_3.16652239_hg19_dbSnp153Common           83     1   101   101    91.1%  chrY   +    26964472  26964572    101
browser details JHU_3.16652239_hg19_dbSnp153Common           81     1   101   101    90.1%  chrY   +    25350087  25350187    101
browser details JHU_3.16652239_hg19_dbSnp153Common           23    12    37   101    96.0%  chr12  +    66171086  66171122     37
browser details rs145369881_hg19_dbSnp153                   101     1   101   101   100.0%  chr7   +   100351546 100351646    101
browser details rs145369881_hg19_dbSnp153                    61     1    84   101    91.9%  chr18  +    12241359  12241445     87
browser details rs145369881_hg19_dbSnp153                    58     6    84   101    90.3%  chr3   -    11353470  11353548     79
browser details rs145369881_hg19_dbSnp153                    58     8    84   101    88.4%  chr3   +   114852334 114852411     78
browser details rs145369881_hg19_dbSnp153                    55     6    80   101    89.9%  chr16  +     2462613   2462688     76
browser details rs145369881_hg19_dbSnp153                    54     1    81   101    82.2%  chr14  -    97498945  97499023     79
browser details rs145369881_hg19_dbSnp153                    52     1    85   101    86.0%  chr16  +    21621415  21621499     85
browser details rs145369881_hg19_dbSnp153                    52     1    79   101    90.5%  chr10  +   116295799 116295877     79
browser details rs145369881_hg19_dbSnp153                    51     6    84   101    91.7%  chr13  -   103035275 103035354     80
browser details rs145369881_hg19_dbSnp153                    49     1    84   101    96.4%  chr7   -    36869949  36870053    105
browser details rs145369881_hg19_dbSnp153                    49    14    84   101    84.6%  chr20  -    44772282  44772352     71
browser details rs145369881_hg19_dbSnp153                    47     1    84   101    83.1%  chr19  -    18164812  18164892     81
browser details rs145369881_hg19_dbSnp153                    47     1    69   101    84.3%  chr9   +    34354351  34354414     64
browser details rs145369881_hg19_dbSnp153                    46    19    84   101    84.9%  chr5   -    71355956  71356021     66
browser details rs145369881_hg19_dbSnp153                    46     1    84   101    87.5%  chr5   -    16837560  16837642     83
browser details rs145369881_hg19_dbSnp153                    45     6    67   101    87.3%  chr1   -   212982556 212982616     61
browser details rs145369881_hg19_dbSnp153                    44    18    84   101    86.7%  chr6   -    80734294  80734361     68
browser details rs145369881_hg19_dbSnp153                    43     1    53   101    88.3%  chr2   -   178730587 178730638     52
browser details rs145369881_hg19_dbSnp153                    43     1    85   101    92.4%  chr11  +    10700849  10700934     86
browser details rs145369881_hg19_dbSnp153                    42     1    84   101    97.8%  chr5   -    43389196  43389696    501
browser details rs145369881_hg19_dbSnp153                    42    19    81   101    89.8%  chr19  -    18206314  18206375     62
browser details rs145369881_hg19_dbSnp153                    40     1    80   101    91.7%  chr9   -    75587951  75588030     80
browser details rs145369881_hg19_dbSnp153                    40    46    95   101    83.4%  chr5   -   150492506 150492553     48
browser details rs145369881_hg19_dbSnp153                    40    16    86   101    91.7%  chr17  +    79034113  79034184     72
browser details rs145369881_hg19_dbSnp153                    40    13    79   101    84.5%  chr14  +    96384260  96384327     68
browser details rs145369881_hg19_dbSnp153                    40     6    54   101    91.9%  chr1   +    41596416  41596467     52
browser details rs145369881_hg19_dbSnp153                    39     6    52   101    91.5%  chr1   +     6864515   6864561     47
browser details rs145369881_hg19_dbSnp153                    38    10    51   101    95.3%  chrX   -    66853761  66853802     42
browser details rs145369881_hg19_dbSnp153                    38     6    84   101    95.3%  chr8   +    30051946  30052026     81
browser details rs145369881_hg19_dbSnp153                    37    10    54   101    91.2%  chr2   -    75955076  75955120     45
browser details rs145369881_hg19_dbSnp153                    37     1    84   101    88.7%  chr16  -    18183610  18183692     83
browser details rs145369881_hg19_dbSnp153                    36     1    44   101    86.1%  chr8   -    91318227  91318269     43
browser details rs145369881_hg19_dbSnp153                    36     1    49   101    87.8%  chr2   -    14680713  14681092    380
browser details rs145369881_hg19_dbSnp153                    36    41    81   101    95.0%  chr16  -    87050026  87050066     41
browser details rs145369881_hg19_dbSnp153                    36    37    82   101    91.4%  chr12  +    42376490  42376537     48
browser details rs145369881_hg19_dbSnp153                    35    19    81   101    87.2%  chr9   -   100603504 100603564     61
browser details rs145369881_hg19_dbSnp153                    35     6    50   101    88.9%  chr9   -   101288290 101288334     45
browser details rs145369881_hg19_dbSnp153                    35     1    49   101    85.8%  chr4   -   144821991 144822039     49
browser details rs145369881_hg19_dbSnp153                    35    40    85   101    97.3%  chr8   +   101235139 101235185     47
browser details rs145369881_hg19_dbSnp153                    35     6    82   101    83.8%  chr6   +   131278964 131279035     72
browser details rs145369881_hg19_dbSnp153                    35     6    54   101    81.3%  chr2   +   108472211 108472258     48
browser details rs145369881_hg19_dbSnp153                    35     6    44   101    94.9%  chr17  +     6666393   6666431     39
browser details rs145369881_hg19_dbSnp153                    34     1    84   101    91.7%  chr9   -   130384421 130384503     83
browser details rs145369881_hg19_dbSnp153                    34     1    44   101    88.7%  chr2   -    26157113  26157156     44
browser details rs145369881_hg19_dbSnp153                    34    47    82   101    91.5%  chr9   +   134171040 134171074     35
browser details rs145369881_hg19_dbSnp153                    34    10    84   101    92.5%  chr2   +   149910207 149910282     76
browser details rs145369881_hg19_dbSnp153                    34     1    84   101    92.4%  chr2   +    47824510  47824593     84
browser details rs145369881_hg19_dbSnp153                    34    47    89   101    94.6%  chr11  +   110684236 110684278     43
browser details rs145369881_hg19_dbSnp153                    33    40    84   101    86.5%  chr19  -    16451803  16451845     43
browser details rs145369881_hg19_dbSnp153                    33     1    47   101    84.3%  chr17  -    57456976  57457020     45
browser details rs145369881_hg19_dbSnp153                    33     1    58   101    78.6%  chr14  -    75913369  75913426     58
browser details rs145369881_hg19_dbSnp153                    33    46    84   101    92.4%  chr9   +   109923146 109923184     39
browser details rs145369881_hg19_dbSnp153                    33     6    49   101    87.2%  chr3   +   194388816 194388858     43
browser details rs145369881_hg19_dbSnp153                    33    49    84   101    97.2%  chr14  +    64753914  64753950     37
browser details rs145369881_hg19_dbSnp153                    32     1    84   101    84.3%  chr4   -   112644894 112644975     82
browser details rs145369881_hg19_dbSnp153                    32     1    33   101   100.0%  chr2   +   149108669 149108815    147
browser details rs145369881_hg19_dbSnp153                    32    46    85   101    97.2%  chr2   +   120365235 120365275     41
browser details rs145369881_hg19_dbSnp153                    32    47    89   101    94.3%  chr15  +    36392978  36393020     43
browser details rs145369881_hg19_dbSnp153                    32    60    94   101    97.1%  chr15  +    22092017  22092067     51
browser details rs145369881_hg19_dbSnp153                    32    60    94   101    97.1%  chr15  +    21080866  21080916     51
browser details rs145369881_hg19_dbSnp153                    32     6    83   101    70.6%  chr11  +    66694142  66694219     78
browser details rs145369881_hg19_dbSnp153                    31    47    85   101    97.1%  chr15  -   101994797 101994837     41
browser details rs145369881_hg19_dbSnp153                    31    13    44   101   100.0%  chr1   -   111383466 111383498     33
browser details rs145369881_hg19_dbSnp153                    31     6    84   101    87.9%  chr11  +    71984351  71984427     77
browser details rs145369881_hg19_dbSnp153                    31    55    89   101    88.3%  chr1   +    18228168  18228201     34
browser details rs145369881_hg19_dbSnp153                    30    46    83   101    94.2%  chr2   -   201358913 201358952     40
browser details rs145369881_hg19_dbSnp153                    30     8    80   101    96.9%  chr10  -    20100270  20100343     74
browser details rs145369881_hg19_dbSnp153                    30    40    80   101    97.0%  chr6   +    21285776  21285816     41
browser details rs145369881_hg19_dbSnp153                    30    47    84   101    83.8%  chr17  +    12772936  12772972     37
browser details rs145369881_hg19_dbSnp153                    30    40    80   101    94.2%  chr13  +    51154755  51154796     42
browser details rs145369881_hg19_dbSnp153                    29    20    54   101    91.5%  chr9   +     5442808   5442842     35
browser details rs145369881_hg19_dbSnp153                    29    47    80   101    96.8%  chr3   +    97341087  97341121     35
browser details rs145369881_hg19_dbSnp153                    29     6    44   101    81.6%  chr2   +   109364366 109364403     38
browser details rs145369881_hg19_dbSnp153                    28    63    92   101    89.7%  chr1   -   211968359 211968387     29
browser details rs145369881_hg19_dbSnp153                    28    47    83   101    88.9%  chr6   +   111035288 111035325     38
browser details rs145369881_hg19_dbSnp153                    28    60    89   101    89.7%  chr2   +   102105972 102106000     29
browser details rs145369881_hg19_dbSnp153                    28    46    84   101    87.5%  chr18  +    56397536  56397573     38
browser details rs145369881_hg19_dbSnp153                    28     1    30   101    96.7%  chr12  +    66201647  66201676     30
browser details rs145369881_hg19_dbSnp153                    27    46    84   101    87.1%  chr7   -     3975844   3975881     38
browser details rs145369881_hg19_dbSnp153                    27    47    74   101   100.0%  chr3   -    38589268  38589296     29
browser details rs145369881_hg19_dbSnp153                    27     1    29   101    96.6%  chr9   +   113596979 113597007     29
